Habitat	motility	spore production	Genus name	species name	strain name
other	gliding	not indicated	Tenacibaculum	dicentrarchi	Sep-35
seawater	non-motile	no	Euzebyella 	saccharophila	7SM30
other	non-motile	not indicated	Microlunatus	parietis	12-Be-011
soil	__motile, but unspecified structure__	not indicated	Rhodopseudomonas	harwoodiae	JA531
other	non-motile	no	Lactobacillus	gigeriorum	202
seawater	non-motile	no	Fulvivirga	imtechensis	AK7
soil	non-motile	yes	Streptomyces	herbaceus	BK119
seawater	flagella	not indicated	Tropicibacter	multivorans	MD5
__freshwater sediment (river, lake, pond__	non-motile	not indicated	Rhodovulum	bhavnagarense	JA738
other	not indicated	no	Defluviitoga	tunisiensis	SulfLac1
soil	__motile, but unspecified structure__	no	Pusillimonas	soli	MJ07
soil	flagella	not indicated	Candidimonas	bauzanensis	BZ59
soil	flagella	not indicated	Candidimonas	bauzanensis	BZ59
soil	non-motile	no	Haloechinothrix	alba	YIM 93221
other	non-motile	no	Microvirga 	aerophila	5420S-12
other	__motile, but unspecified structure__	no	Photobacterium	jeanii	R-40508
seawater	flagella	not indicated	Pseudorhodobacter	Aquimaris	HDW-19
seawater	non-motile	not indicated	Brevibacterium 	salitolerans	TRM 415
seawater	non-motile		Gaetbulibacter	aestuarii	KYW382
bioreactor	flagella	no	Methanospirillum	Methanospirillum stamsii	Pt1
human - mouth	non-motile	no	Streptococcus	dentisani	7747T
other	non-motile		Streptococcus	Streptococcus dentisani	7746
other	non-motile	not indicated	Sphingomonas	laterariae	LNB2
plant associated	non-motile	yes	Kribbella	Amoyensis	XMU 198
plant associated	non-motile	no	Mucilaginibacter	polysacchareus	DRP28
hypersaline environment	__motile, but unspecified structure__	yes	Bacillus	iranensis	X5B
soil	non-motile	no	Nocardioides	lianchengensis	D94-1
other	gliding	not indicated	Gryllotalpicola	daejeonensis	RU-04
other	flagella	not indicated	Roseovarius	halocynthiae	MA1-10
other	not indicated	not indicated	Xenorhabdus	magdalenensis	IMI 397775
bioreactor	flagella	not indicated	Plasticicumulans	lactativorans	YD
other	non-motile		Salinibacillus	Salinibacillus xinjiangensis	J4
plant associated	flagella	yes	Cohnella	lupini	RLAHU4BT
human - mouth	not indicated	not indicated	Mycobacterium	paragordonae	49061T
other	non-motile	no	Tetragenococcus	osmophilus	T1
other	non-motile	no	Candida	cellulosicola	HNX16-2
soil	__motile, but unspecified structure__	not indicated	Halomonas	ventosae	A|12T
soil	flagella	no	Mitsuaria	chitosanitabida	3001T
soil	flagella	no	Pseudoxanthomonas	japonensis	12-3T
soil	flagella	no	Pseudoxanthomonas	japonensis	12-3T
marine sediment	non-motile	not indicated	Williamsia	maris	SJS0289/JS1T
other	non-motile	no	Zimmermannella	alba	IAM 14724T
other	non-motile	no	Zimmermannella	faecalis	IAM 15030T
soil	non-motile	no	Leucobacter	albus	IAM 14851T
other	non-motile	no	Zimmermannella	bifida	IAM 14848T
soil	non-motile	no	Sphingomonas	oligophenolica	S213T
wastewater	non-motile	no	Thermodesulfovibrio 	aggregans	TGE-P1
wastewater	flagella	not indicated	Thauera	butanivorans	Bu-B1211T 
food product	flagella	not indicated	Phaseolibacter	flectens	ATCC 12775
soil	non-motile	yes	Streptomyces	scabrisporus	KM-4927T
__freshwater sediment (river, lake, pond__	not indicated	yes	Hydrogenibacillus	schlegelii	DSM 2000
__freshwater sediment (river, lake, pond__	not indicated	yes	Hydrogenibacillus	schlegelii	DSM 2000
built environment	flagella	yes	Bacillus	hemicellulosilyticus	C-11T
built environment	flagella	yes	Bacillus	wakoensis	N-1T
built environment	flagella	yes	Bacillus	mannanilyticus	 AM-001T
built environment	flagella	no	Sulfuricurvum	kujiense	YK-1T
other	flagella	no	Cupriavidus	laharis	1263a
other	non-motile	no	Roseibacterium	elongatum	Och 323
soil	non-motile	no	Roseibacterium	elongatum	OCh 323
human - fecal	non-motile	no	Prevotella 	copri	CB7T
other	non-motile	not indicated	Arthrobacter	russicus	A1-3T
other			Rothia	aeria	A1-17BT
other		not indicated	Rhodococcus	baikonurensis	A1-22T
other	__motile, but unspecified structure__	not indicated	Brevundimonas	nasdae	W1-2BT
other	not indicated	not indicated	Sphingomonas	yabuuchiae	A1-18T
seawater	flagella	no	Agarivorans	albus	MKT106T
soil	non-motile	no	Prevotella	paludivivens	KB7T
soil	non-motile	no	Paludibacter	propionicigenes	WB4
other	flagella	no	Sphingosinicella	microcystinivorans	Y2
plant associated	gliding	no	Pseudozobellia	thermophila	KMM 3531T
other	non-motile	no	Deinococcus 	Deinococcus aetherius	ST0316
other	non-motile	no	Deinococcus	aetherius	ST0316
other	non-motile	no	Deinococcus	aerius	TR0125T
__freshwater (river, lake, pond)__	flagella	not indicated	Rhodoplanes	serenus	TUT3530T
food product	not indicated	yes	Planifilum	fulgidum	500275T
food product	not indicated	yes	Planifilum	fimeticola	H0165T
other	non-motile	no	Sulfurovum	lithotrophicum	42BKTT
other	non-motile	not indicated	Nocardia	inohanensis	IFM 0092T
other	non-motile	not indicated	Nocardia	niigatensis	IFM 0330T
other	non-motile	not indicated	Nocardia	yamanashiensis	IFM 0265T
other	non-motile	yes	Nocardia	asiatica	IFM0245T
soil	flagella	not indicated	Herbasprillum	chlorophenolicum	CPW301T
marine sediment	flagella	no	Colwellia	piezophila	Y223GT
other	flagella	not indicated	Psychromonas	hadalis	K41GT
seawater	flagella	no	Shewanella	surugensis	c959
seawater	flagella	no	Shewanella	abyssi	c941
other	flagella	yes	Tonsilliphilus	suis	W254
food product	flagella	no	Marinospirillum 	insulare	KT
hypersaline environment	flagella	yes	Bacillus	vietnamesis	15-1T
seawater	gliding	no	Cellulophaga	pacifica 	KMM3664T
other	non-motile	not indicated	Catellibacterium	nectariphilum	AST4T
other	non-motile	no	Gemmobacter	nectariphilus	AST4
plant associated	flagella	not indicated	Asaia	Krungthepensis	AA08T
NA	not indicated	not indicated	Cupriavidus	numazuensis	TE26
other	flagella	not indicated	Hydrogenimonas	 thermophila	EP1-55-1%T
food product	__motile, but unspecified structure__	no	Chromohalobacter	japonicus	43T
built environment	flagella	no	Exiguobacterium	oxidotolerans	T-2-2T
wastewater	non-motile	no	Tepidanaerobacter	syntrophicus	JL
soil	non-motile	yes	Micromonospora	eburnea	 LK2-10T
soil	non-motile	yes	Actinocatenispora 	thailandica	TT2-10
other	__motile, but unspecified structure__	yes	Cerasibacillus	quisquiliarum	 BLxT
soil	non-motile	not indicated	Nocardia	shimofusensis	IFM10311T
other	non-motile	not indicated	Nocardia	higoensis	IFM10084T
other	non-motile	not indicated	Nocardia	araoensis	IFM0575T
other	non-motile	not indicated	Nocardia	pneumoniae	IFM0784T
human - mouth	non-motile	no	Prevotella 	shahii	EHS11T
human - mouth	non-motile	no	Prevotella 	salivae	EPSA11T
soil	flagella	yes	Bacillus	asahii	MA001T
wastewater	non-motile	no	Anaerolinea  	thermolimosa	IMO-1
wastewater	non-motile	no	Leptolinea	tardivitalis	YMTK-2
wastewater	non-motile	no	Levilinea	saccharolytica	KIBI-1
hotspring	non-motile		Anoxybacillus	voinovskiensis	TH13T
plant associated	non-motile	no	Saccharibacter	floricola	S-877T
soil	flagella	not indicated	Dyella	japonica	 XD53T
estuarine sediment	flagella	no	Desulfoluna	butyratoxydans	MSL71
estuarine sediment	flagella	no	Desulfopila	aestuarii	MSL86T
estuarine sediment	flagella	no	Desulfobulbus	japonicus	Pro1T
soil		yes	Planotetraspora	silvatica	TT00-51T
seawater	non-motile	no	Salegentibacter	holothuriorum	KMM 3524T
wastewater	flagella	no	Thiovirga	sulfuroxydans	SO07T
hotspring	flagella	not indicated	Hydrogenivirga	caldilitoris	IBSK3T
other	flagella	no	Cupriavidus	pinatubonensis	1245
seawater	__motile, but unspecified structure__	no	Jannaschia	cystaugens	CFPB-A9T 
seawater	gliding	not indicated	Zobellia	amurskyensis	KMM 3526T
seawater	gliding	not indicated	Zobellia	laminariae	KMM3676T
seawater	gliding	not indicated	Zobellia	russellii	KMM 3677T 
other	non-motile	not indicated	Gordonia	otitidis	IFM 10032T
other	flagella	not indicated	Microbulbifer	thermotolerans	JAMB A94
marine sediment	__motile, but unspecified structure__	no	Owenweeksia	hongkongensis	UST20020801T
other	non-motile	yes	Clostridium	straminisolvens	CSK1T
other	flagella	not indicated	Pseudomonas	pachastrellae 	KMM330T
human - skin	non-motile	not indicated	Nocardia	concava	IFM 0354T
other	non-motile	no	Pleomorphomonas	koreensis	Y9
other	non-motile	yes	Lentibacillus	juripiscarius	IS40-3T
wastewater	non-motile	yes	Pelotomaculum	propionicicum	MGPT
food product	flagella	not indicated	Lactobacillus	satsumensis	NRIC0604T
estuarine sediment	non-motile	not indicated	Nocardia	takedensis	MS1-3T
other	non-motile	not indicated	Microbulbifer	agarilyticus	JAMB A3
soil	non-motile	no	Pleomorphomonas	oryzae	F-7T
other	non-motile	not indicated	Methanolinea	tarda	NOBI-1
other	non-motile	yes	Gordonia	effusa	IFM 10200
other	non-motile	yes	Gordonia	araii	IFM 10211
hotspring	flagella	no	Thiomicrospira	thermophila	I78T
soil	flagella	no	Lysobacter	koreensis	Dae16
wastewater	non-motile	no	Phenylobacterium 	koreense	Slu-01T
other	flagella	no	Azonexus	caeni	Slu-05
soil	non-motile	no	Sphingomonas	soli	T5-04
other	non-motile	no	Stenotrophomonas	koreensis	TR6-01
other	non-motile	not indicated	Cellulomonas	composti	TR7-06T
other	non-motile	no	Microbulbifer	variabilis	Ni-2088T
other	flagella	no	Lebetimonas	acidiphila	Pd55T
other	flagella	no	Thioreductor	micantisoli	BKB25Ts-YT
other	non-motile	no	Nitratiruptor	tergarcus 	M155-1T
other	non-motile	no	Nitratifractor	salsuginis	E9I37-1T
other	__motile, but unspecified structure__	not indicated	Methylobacterium	brachiatum	B0021
other	flagella	no	Pseudovibrio	ascidiaceicola	F423
other	flagella	no	Pseudovibrio	ascidiaceicola	F423
seawater	non-motile	no	Fangia	hongkongensis	UST040201-002T
seawater	non-motile	no	Myroides	pelagicus	SM1
other	flagella	yes	Paenibacillus	hodogayensis	SGT
soil	non-motile	yes	Catenulispora	rubra	Aac-30T
human - mouth	non-motile	no	Prevotella	multiformis	PPPA21T
soil	not indicated	yes	Streptoalloteichus	tenebrarius	NBRC 16177
plant endophyte	flagella	not indicated	Azospirillum	oryzae	COC8T
seawater	non-motile	not indicated	Paracoccus	marinus	KKL-A5
bioreactor	non-motile	yes	Clostridium	clariflavum	EBR45T
bioreactor	__motile, but unspecified structure__	yes	Lutispora	thermophila	EBR46
other	non-motile	yes	Nocardia	exalbida	IFM 0803
bioreactor	non-motile	no	Paracoccus	koreensis	Ch05T
__freshwater (river, lake, pond)__	flagella	yes	Oceanobacillus	oncorhynchi	R-2T
soil	non-motile	yes	Bacillus	oshimensis	K11T
other	flagella	no	Alkalibacterium 	iburiense	M3T
plant endophyte	__motile, but unspecified structure__	not indicated	Pseudomonas	azotifigens	6H33bT
other	__motile, but unspecified structure__	yes	Lentibacillus	halophilus	PS11-2
soil	non-motile	no	Terrimonas	lutea	DY
other	non-motile	not indicated	Chryseobacterium	shigense	GUM-KajiT
soil	non-motile	not indicated	Oryzihumus	leptocrescens	KV-628T
soil	flagella	no	Patulibacter	minatonensis	KV-614
other	flagella	yes	Piscibacillus	salipiscarius	RBU1-1T
soil	flagella	not indicated	Silvimonas	terrae	KM-45T
other	non-motile	yes	Halobacillus	kuroshimensis	IS-Hb7T 
soil	non-motile	not indicated	Methanocella	paludicola	SANAE
soil	non-motile	yes	Micromonospora	chaiyaphumensis	MC5-1
marine sediment	not indicated	yes	Micromonospora	marina	JSM1-1
other	non-motile	yes	Micromonospora	Micromonospora marina	JSM1-1
other	flagella	no	Halolactibacillus	halophilus	M2-2T
seawater	flagella	no	Halolactibacillus	halophilus	M2-2T
marine sediment	flagella	no	Halolactibacillus	miurensis	M23-1T
soil	flagella	yes	Gracilibacillus	boraciitolerans	T-16XT
other	__motile, but unspecified structure__	yes	Virgibacillus	salarius	SA-Vb1
soil	non-motile	not indicated	Chimaereicella	boritolerans	T-22T
marine sediment	not indicated	no	Krokinobacter	genikus	Cos-13
marine sediment	not indicated	no	Krokinobacter	diaphorus	PMA-26
marine sediment	not indicated	no	Krokinobacter	eikastus	PMA-26
marine sediment	not indicated	no	Krokinobacter	diaphorus	MSKK-32
soil	__motile, but unspecified structure__	yes	Lysinibacillus	boronitolerans	10aT 
human - fecal	non-motile	no	Bacteroides	plebeius	M12T
human - fecal	non-motile	no	Bacteroides	coprocola	M16T
soil	non-motile	yes	Catellatospora	chokoriensis	2-25(1)
human - mouth	non-motile	no	Prevotella	multisaccharivorax	 PPPA20T
soil	flagella	no	Zoogloea	oryzae	A-7
soil	flagella	no	Burkholderia	terrae	KMY02
human - mouth	non-motile		Nocardia 	terpenica	IFM 0706T
seawater	flagella	no	Shewanella	kaireitica	c931
other	flagella	not indicated	Shewanella	pneumatophori	SCRC-2738T
other	flagella	not indicated	Shewanella	algidipiscicola	S13T
other	flagella	not indicated	Shewanella	glacialipiscicola	T147T
other	flagella	no	Shewanella	morhuae	U1417
marine sediment	non-motile	no	Sandarakinotalea	sediminis	CKA-5
other	non-motile	no	Sediminicola	luteus	CNI3
other	non-motile	no	Sharpea	azabuensis	ST18
other	non-motile	no	Bacteroides	intestinalis	341
soil	flagella	no	Sphingomonas	azotifigens	Y39
estuarine sediment	non-motile	no	Dethiosulfatibacter	aminovorans	C/G2T
bioreactor	flagella	yes	Clostridium	caenicola	EBR596T
human - fecal	non-motile	no	Bacteroides	finegoldii	199
soil	non-motile	yes	Polymorphospora	rubra	TT 97-42
wastewater	non-motile	no	Thermodesulfovibrio	thiophilus	TDV
food product	non-motile	yes	Lentibacillus	kapialis	PN7-6T
other	__motile, but unspecified structure__	not indicated	Hydrogenivirga	okinawensis	LS12-2
